"ID","name","host_id","host_name","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
1315,"Cozy 1 bdrm w/ access to train& bus",26031445,"Monti","Irving Park",41.9427,-87.73138,"Private room",89,1,0,"",NA,1,89
1316,"1-bedroom apt. in Lakeview, close to Wrigley",59973711,"Casey","Lake View",41.93588,-87.65128,"Entire home/apt",89,1,5,"2018-11-26",0.18,1,0
1317,"Cozy Family Friendly  Home in Chicago (Galewood)",25553049,"Emily","Austin",41.91183,-87.78889,"Entire home/apt",140,3,22,"2020-07-14",0.47,2,113
1318,"中唐【305】Chinatown",60390549,"Zhi","Armour Square",41.84993,-87.63133,"Private room",69,1,129,"2020-08-09",2.76,7,88
1319,"Edgewater Quietude - The Emerald Room",3212030,"Bobby","Edgewater",41.98902,-87.66404,"Private room",66,1,62,"2020-09-05",1.33,3,265
1320,"Edgewater Quietude - The Perkins Gilman Room",3212030,"Bobby","Edgewater",41.98995,-87.66368,"Private room",66,1,50,"2020-08-24",1.07,3,263
1321,"Min 2 mon stay RiverNorth 1BR 1parking in-unit W/D",24286663,"Gennie","Near North Side",41.89428,-87.62685,"Entire home/apt",100,60,13,"2018-12-23",0.31,1,324
1322,"Walk to Wrigley Field near a Room in Lakeview / Southport Townhouse",5140484,"Mike","Lake View",41.94361,-87.66224,"Private room",150,1,44,"2018-08-21",0.97,2,0
1323,"Gorgeous Condo in Rogers Park - close to Red Line!",64906896,"Jack","Rogers Park",42.01036,-87.67156,"Entire home/apt",145,2,0,"",NA,1,169
1324,"Wrigley Oasis! Steps from the Field! - 3BR/1BA!",57535057,"Hannah","Lake View",41.9448,-87.66038,"Entire home/apt",163,2,98,"2020-08-16",2.5,1,361
1325,"☺Fantastic 5-Star Home in Chicago's Trendiest Area",20939121,"Jeff","West Town",41.91232,-87.69434,"Entire home/apt",119,2,137,"2020-03-17",2.93,1,345
1326,"Classic Edgewater 3-BR/1-BA (w parking!)",9094538,"Nicole","Edgewater",41.9882,-87.6609,"Entire home/apt",73,1,81,"2020-08-30",1.72,37,32
1327,"3rd Flr Penthouse by Northeastern Illinois Univ",102273969,"Alexandra","North Park",41.98301,-87.71478,"Private room",83,2,115,"2020-03-15",2.54,1,270
1328,"See a Game at Wrigley Field from a Sophisticated Condominium",99519003,"Nick","Lake View",41.94598,-87.65011,"Entire home/apt",175,1,68,"2019-11-03",1.46,1,0
1329,"Amazing 2-BR Apt in Old Town! Eat,Drink,Beach&Shop",11354458,"Ashish","Near North Side",41.9107,-87.64121,"Entire home/apt",175,3,27,"2020-03-15",0.58,1,0
1330,"Safest City Retreat close to USMLE/COMLEX",2456789,"Mary","Norwood Park",41.98251,-87.81927,"Private room",49,14,237,"2020-07-11",5.07,4,83
1331,"(1EV) 2Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे",20665511,"Skye","Woodlawn",41.7837,-87.60623,"Private room",30,5,23,"2019-04-29",0.49,9,363
1332,"(2EV) 2Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे",20665511,"Skye","Woodlawn",41.78248,-87.60652,"Private room",45,28,10,"2019-11-30",0.23,9,263
1333,"(3EV) 2Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे",20665511,"Skye","Woodlawn",41.78279,-87.60621,"Private room",45,2,10,"2018-08-20",0.22,9,263
1334,"(1EL) 2Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे",20665511,"Skye","Woodlawn",41.78181,-87.59971,"Private room",45,5,39,"2018-09-23",0.83,9,364
1335,"(2EL) 2Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे",20665511,"Skye","Woodlawn",41.78027,-87.60353,"Private room",45,2,17,"2020-08-31",0.4,9,362
1336,"(MEL) 2Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे",20665511,"Skye","Woodlawn",41.78066,-87.60181,"Private room",42,2,7,"2018-01-02",0.17,9,263
1337,"Large Serene Artist's One Bedroom in Logan Square",18417574,"Ambrosia","Logan Square",41.92942,-87.71136,"Entire home/apt",55,1,15,"2018-01-15",0.43,1,0
1338,"Enjoyful  Bedroom for Travelers",76133827,"Anny","West Town",41.89634,-87.6629,"Private room",66,2,6,"2020-08-31",0.13,6,78
1339,"Millennium Park No1 LOCATION LOOP / GYM/ SPA /POOL",67653393,"Dan","Loop",41.88564,-87.6174,"Entire home/apt",125,31,1,"2019-05-17",0.06,5,365
1340,"Large Wicker Park Loft - Walk To Everything!",103220942,"Perry","West Town",41.90959,-87.6863,"Entire home/apt",76,3,262,"2020-09-05",5.63,2,43
1341,"Private unit close to everything in Chicago!",56054371,"Michael","Near West Side",41.86425,-87.6464,"Entire home/apt",93,2,48,"2020-02-27",1.9,1,53
1342,"Traveler's Dream - 1 bed in a shared bedroom",57387860,"Freehand","Near North Side",41.89235,-87.62732,"Hotel room",31,7,24,"2020-03-12",0.53,24,331
1343,"3BR Flat w/Free Street Parking in Humboldt Park",1214607,"Coral","Humboldt Park",41.89873,-87.70326,"Entire home/apt",75,1,228,"2020-09-15",4.99,2,70
1344,"Traveler's Dream - 1 bed in a shared bedroom",57387860,"Freehand","Near North Side",41.89235,-87.62732,"Hotel room",31,7,14,"2020-02-20",0.42,24,331
1345,"Bright, Charming Loft in Andersonville",97706065,"Wesley","Uptown",41.97437,-87.66395,"Entire home/apt",121,2,170,"2020-09-18",3.66,1,155
1346,"Traveler's Dream - 1 bed in a shared bedroom",57387860,"Freehand","Near North Side",41.89235,-87.62732,"Hotel room",31,7,12,"2020-01-10",0.3,24,330
1347,"Bright 2BR Apt w/ Private Entrance & Laundry",103847672,"John","Lake View",41.95415,-87.66299,"Entire home/apt",84,3,173,"2020-09-05",3.79,1,339
1348,"Bright Large Logan Square 3 Bedroom",103890657,"Susan","Logan Square",41.92872,-87.69738,"Entire home/apt",113,3,165,"2020-08-23",3.56,1,76
1349,"Zen Lincoln Park Coach House",26821451,"Pam","Lincoln Park",41.92184,-87.63996,"Entire home/apt",100,14,29,"2020-08-17",0.68,1,332
1350,"Logan Square Luxury",23462226,"Sonia","Logan Square",41.92205,-87.70488,"Entire home/apt",140,3,22,"2019-07-08",0.47,1,0
1351,"Luxury Loyola 3 Bedroom-2 Bath, Near Beach and El",71205935,"Gary And Aitor","Rogers Park",42.00214,-87.66412,"Entire home/apt",156,3,51,"2020-05-31",1.11,1,278
1352,"Logan Square Spa",28462890,"Curtis","Logan Square",41.9151,-87.70596,"Entire home/apt",150,3,13,"2019-12-29",0.32,2,19
1353,"Entire 1st Floor Apt near O'Hare/ORD & Blue Line",14045362,"Anna","Jefferson Park",41.97108,-87.77055,"Entire home/apt",90,2,161,"2020-09-08",3.79,1,99
1354,"Private Apartment in Humboldt Park/Logan Square",55389743,"Erin","West Town",41.91008,-87.70387,"Entire home/apt",94,2,89,"2019-12-11",1.92,1,1
1355,"Cozy East room",104526288,"Myrtle","North Park",41.97783,-87.71556,"Private room",35,2,50,"2020-07-25",1.08,2,365
1356,"Adventurer's Paradise-Shared",103436607,"Rose","Loop",41.88263,-87.62402,"Shared room",55,2,34,"2020-02-16",0.92,1,0
1357,"Brand New Logan Square Private Floor with Laundry!",20852412,"Tawni","Avondale",41.93312,-87.70809,"Private room",139,1,35,"2020-02-17",0.87,1,109
1358,"The Treehouse Apt in Logan Square",24376952,"Sarah","Logan Square",41.92364,-87.69154,"Entire home/apt",90,5,11,"2020-08-23",0.24,1,353
1359,"Private bedroom (Q) in Spacious Modern Condo",9868109,"Sarav Paul","Near West Side",41.87404,-87.68853,"Private room",49,1,44,"2017-10-08",0.95,2,0
1360,"Cozy one bedroom apartment close to OHare/Rosemont",105023349,"Ilya","Ohare",41.9727,-87.84363,"Entire home/apt",150,1,40,"2020-08-30",0.86,1,90
1361,"Beautiful Art Deco Apt in  Lake View",1413606,"Michael","Lake View",41.94274,-87.64141,"Entire home/apt",175,4,44,"2020-08-10",1.22,2,300
1362,"Charming, spacious cozy 2 bedrooms",101289163,"Safa","West Town",41.90953,-87.69113,"Entire home/apt",120,2,120,"2020-08-08",2.79,2,357
1363,"Amazing 2BR-2BA in the heart of Downtown Chicago",12013646,"Luis","Loop",41.88306,-87.62577,"Entire home/apt",117,1,266,"2020-09-07",5.8,4,343
1364,"Sweet, colorful studio in diverse Old Irving Park",1339570,"Hannah","Irving Park",41.96019,-87.72927,"Entire home/apt",36,1,103,"2020-08-30",2.24,1,0
1365,"Super Snug and Cozy Basement Room",30294237,"Meesha","South Shore",41.76476,-87.5737,"Private room",28,2,83,"2020-07-31",1.79,4,90
1366,"Lofted 2nd Floor Apartment with Spiral Staircase",90254823,"Margaret","Logan Square",41.92214,-87.68826,"Entire home/apt",91,1,307,"2020-09-11",7.1,1,51
1367,"Lincoln Park Avant Artist's Private 1891 Apartment",25493351,"Matthew","Lincoln Park",41.93108,-87.64648,"Private room",100,2,162,"2020-09-13",3.52,1,244
1368,"LAKESHORE EAST 1 BED MILLENNIUM PARK CLEAN| SPA",4384965,"Tom","Loop",41.88676,-87.61682,"Entire home/apt",89,60,3,"2017-08-31",0.07,10,365
1369,"Andersonville Living",26543301,"Billy","Edgewater",41.98587,-87.66813,"Entire home/apt",112,2,245,"2020-09-12",5.39,2,112
1370,"Cool and Spacious Bedroom in East Humboldt Park",106203317,"Al","West Town",41.90472,-87.68962,"Private room",75,2,10,"2019-06-17",0.22,2,177
1371,"★Downtown★Self Check-In★Smart TV★Walk Score 98",51277433,"Kanan","Near North Side",41.90081,-87.6326,"Private room",80,1,166,"2020-08-21",3.81,2,356
1372,"Traveler's Dream - 1 bed in a shared bedroom",57387860,"Freehand","Near North Side",41.89235,-87.62732,"Hotel room",31,5,14,"2019-12-27",0.41,24,331
1373,"Fully-renovated, modern 1-BR w parking spot!",9094538,"Nicole","Lake View",41.94019,-87.66275,"Entire home/apt",73,1,140,"2020-08-26",3.06,37,139
1374,"3B/2.5BA Skyline Glass Penthouse | Breathtaking Views, Indoor Pool, & Gym by ENVITAE | PAID IN/OUT PARKING IN BLDG",67751745,"Brett","Loop",41.88486,-87.61659,"Entire home/apt",299,3,14,"2020-08-15",1.04,3,356
1375,"Charming 1 Bedroom Near Wrigley Field!",21504287,"Amanda","Lake View",41.94597,-87.66303,"Entire home/apt",109,2,48,"2019-04-28",1.05,1,0
1376,"Modern 1Bedroom Apartment Jefferson Park Blue Line",3965428,"Rob","Jefferson Park",41.97686,-87.76506,"Entire home/apt",39,31,0,"",NA,73,355
1377,"Magnificent Place & Tons of Space | 3 Bedrooms",24337590,"Obinna","West Ridge",41.99355,-87.6946,"Entire home/apt",95,2,16,"2020-08-26",0.42,1,118
1378,"Old Irving Park 2 bd/1 ba, 20 mins to Downtown",459291,"Silvia","Irving Park",41.95061,-87.73584,"Entire home/apt",125,3,41,"2020-02-26",1.11,2,193
1379,"Colorful, Chill, Well Appointed Wicker Park 2BR",107102146,"Peyton","West Town",41.90527,-87.6864,"Entire home/apt",61,1,82,"2019-01-01",1.81,1,0
1380,"Frida 2720 (2F)",36128270,"Juanita","North Lawndale",41.85738,-87.69477,"Private room",29,1,163,"2020-09-12",3.58,8,0
1381,"Traveler's Dream - 1 bed in a shared bedroom",57387860,"Freehand","Near North Side",41.89235,-87.62732,"Hotel room",31,5,14,"2020-03-13",0.32,24,331
1382,"Amazing Logan Square apartment",11165349,"Alexis","Logan Square",41.91825,-87.69919,"Entire home/apt",99,2,1,"2020-07-05",0.38,1,97
1383,"Traveler's Dream - 1 bed in a shared bedroom",57387860,"Freehand","Near North Side",41.89235,-87.62732,"Hotel room",31,5,83,"2020-03-31",1.9,24,331
1384,"Stunning Old Town Penthouse with Private Rooftop",5402236,"Casey","Near North Side",41.90501,-87.63369,"Entire home/apt",895,2,87,"2020-09-13",1.95,3,345
1385,"Luxury 2B/2B panoramic views, 5 stars amenities",12178834,"Kim","Near North Side",41.89211,-87.62263,"Entire home/apt",368,5,25,"2019-10-10",0.56,3,365
1386,"IDA'S 2720 (2F )",36128270,"Juanita","North Lawndale",41.85657,-87.69344,"Private room",26,1,236,"2020-09-20",5.4,8,356
1387,"A Loft More!",9430907,"Anthony","Loop",41.87272,-87.62711,"Entire home/apt",350,5,0,"",NA,1,88
1388,"Private Bedroom and Bathroom in Vibrant Pilsen",42137041,"Justin","Lower West Side",41.85653,-87.65558,"Private room",35,1,8,"2017-03-08",0.18,1,0
1389,"Luxury Apt | Great Location | Indoor Pool, Hot Tub",67653393,"Dan","Loop",41.87156,-87.63205,"Entire home/apt",215,60,0,"",NA,5,0
1390,"Right by NU Location w/ Laundry + Pool/Gym",67653393,"Dan","Near North Side",41.89315,-87.6186,"Entire home/apt",300,30,0,"",NA,5,365
1391,"Cozy Garden Apt in North Center",108615911,"Nisara","North Center",41.95661,-87.67801,"Entire home/apt",120,3,8,"2019-10-14",0.18,1,0
1392,"Heart of Logan Square by the Blueline train",44041158,"Bill","Logan Square",41.92614,-87.71305,"Entire home/apt",79,31,1,"2019-08-13",0.07,2,26
1393,"Private Bedroom (F) in a Modern and Spacious Condo",9868109,"Sarav Paul","Near West Side",41.87475,-87.69,"Private room",43,1,2,"2017-04-04",0.05,2,0
1394,"Private bed/bath in Wicker Park",103470109,"Vijay","West Town",41.90162,-87.67117,"Private room",110,1,6,"2019-10-20",0.15,1,88
1395,"Excellent Wicker Park / Noble Square Apartment",109469133,"Jacob","West Town",41.90835,-87.66808,"Entire home/apt",50,1,3,"2017-07-05",0.07,1,0
1396,"Relaxing Home mins from McCormick Place/Downtown",104441541,"Lucien","Grand Boulevard",41.81898,-87.61781,"Entire home/apt",95,2,117,"2020-08-30",2.65,2,174
1397,"Simple Room 0.3 mi from Logan Square Blue Line",61536277,"Zichen","Avondale",41.93558,-87.7092,"Private room",60,2,7,"2020-02-22",0.53,1,170
1398,"1BR LUX in Loop. Excellent spot!",63313003,"K","Loop",41.88679,-87.6324,"Entire home/apt",155,30,0,"",NA,31,364
1399,"Comfy Furnished 2 bedroom apt near CTA/orange line",30836055,"Ying","Mckinley Park",41.82808,-87.67549,"Entire home/apt",102,2,33,"2020-07-31",0.79,2,283
1400,"Private Guest Bedroom. Bright Sunny Apartment.",2498168,"Prema","Jefferson Park",41.97305,-87.77529,"Private room",28,25,8,"2020-08-10",0.21,1,138
1401,"Elegant south loop 2 bedroom apt, parking, WiFi",9339313,"Leon","Lower West Side",41.85872,-87.65043,"Entire home/apt",37,1,260,"2020-06-07",5.77,11,0
1402,"Modern 2BR/2BA, red line, 10 min to Wrigley!",9094538,"Nicole","Lake View",41.94018,-87.66434,"Entire home/apt",73,1,87,"2020-03-16",2.03,37,151
1403,"Cozy apartment near Michigan lake shore",110322183,"Lanxiang","Edgewater",41.97748,-87.65637,"Private room",49,1,284,"2020-08-09",6.56,1,83
1404,"Old Town Condo",21109849,"Jack","Lincoln Park",41.91252,-87.63621,"Entire home/apt",112,3,147,"2020-08-23",3.3,1,362
1405,"Unique Coach House in Logan Square",2915448,"Brooke","Humboldt Park",41.91209,-87.70624,"Entire home/apt",132,1,99,"2019-11-11",2.31,1,180
1406,"Entire Unique Home in Edison Park",30561059,"Brendan","Edison Park",42.01327,-87.80995,"Entire home/apt",129,2,207,"2020-09-13",4.74,2,315
1407,"Luxury Apartment 2BR 2BA Highrise/Millenimun Park",55987408,"Loop Loop","Loop",41.88331,-87.63058,"Entire home/apt",357,2,182,"2020-09-20",4.12,1,0
1408,"Cozy Unique Large Private Room Lincoln Square",26790353,"Jill K","Lincoln Square",41.9681,-87.69026,"Private room",43,2,32,"2020-02-09",0.82,1,342
1409,"Bijou Bolt-Hole a Walk from Wrigley Field and Lake Michigan",111141909,"R. Neil","Uptown",41.95711,-87.65479,"Entire home/apt",112,2,57,"2020-06-24",1.55,1,177
1410,"Heart of Chicago 2BD + Parking",32137398,"Gaby","Lower West Side",41.84474,-87.68333,"Entire home/apt",70,1,122,"2020-08-02",2.77,1,90
1411,"Luxury 2B/2B: panoramic views, 5 stars amenities",12178834,"Kim","Near North Side",41.89269,-87.62194,"Entire home/apt",689,3,41,"2019-05-10",0.96,3,361
1412,"Ukrainian Village Studio with Italian Charm",107785038,"A Tavola","West Town",41.89686,-87.68103,"Entire home/apt",66,3,160,"2020-09-12",3.62,1,337
1413,"Chicago 2720 (2F)",36128270,"Juanita","North Lawndale",41.85818,-87.69484,"Private room",28,1,161,"2020-07-30",3.63,8,170
1414,"Spacious 1bd/1ba in Lincoln Park with PARKING!",10347686,"Tricia","Lincoln Park",41.92329,-87.64439,"Entire home/apt",114,2,137,"2019-10-27",3.12,1,0
1415,"Relax in a Newly Remodeled Apartment in Irving Park",60552183,"David And Andrea","Irving Park",41.95719,-87.71734,"Entire home/apt",125,2,183,"2020-09-07",4.19,1,304
1416,"Private room, shared apartment, easy city access",112016025,"Randall","Edgewater",41.99464,-87.66332,"Private room",41,1,194,"2020-08-02",4.44,2,305
1417,"Private room, shared apartment, easy city access.",112016025,"Randall","Edgewater",41.99462,-87.66425,"Private room",43,1,168,"2020-09-07",3.84,2,284
1418,"Perfect location Gold Coast",48209432,"Naf","Near North Side",41.90326,-87.62968,"Entire home/apt",140,1,208,"2020-06-11",4.79,2,267
1419,"Gorgeous Wicker Park Home for 8",72470948,"Tom","West Town",41.91031,-87.66776,"Entire home/apt",181,3,144,"2020-09-07",3.25,4,345
1420,"Beautiful Penthouse Home for 8",72470948,"Tom","West Town",41.9112,-87.6664,"Entire home/apt",158,3,134,"2020-09-13",3.07,4,356
1421,"Large Pet Friendly Room in Avondale/Logan Square",2894083,"Robert","Avondale",41.93387,-87.69323,"Private room",80,1,120,"2019-11-16",2.7,1,0
1422,"Private studio with weekly and monthly rates.",25173295,"Angie","South Shore",41.76674,-87.56953,"Entire home/apt",75,2,8,"2019-10-19",0.22,12,365
1423,"A little Charming Place in Wrigleyville!",1788967,"Mikey","Lake View",41.94872,-87.65189,"Private room",75,1,61,"2020-03-16",1.42,1,178
1424,"Sunny, Modern Lincoln Park Apartment with Deck",113257336,"Beth","Lincoln Park",41.91423,-87.64692,"Entire home/apt",189,3,100,"2020-05-16",2.71,3,294
1425,"- lower level in house",86183324,"Cristina","Garfield Ridge",41.79267,-87.78522,"Private room",25,1,5,"2018-08-19",0.19,1,0
1426,"Hotel Perks - Private Bedroom | Private Bathroom",57387860,"Freehand","Near North Side",41.89235,-87.62732,"Hotel room",98,7,49,"2020-03-13",1.22,24,331
1427,"Newly Renovated 4BR/2BA Condo @ Historic Hyde Park",113922654,"Alan","Hyde Park",41.79905,-87.60391,"Entire home/apt",292,2,120,"2020-08-30",2.79,1,0
1428,"1BR Michigan Ave Condo: King Bed + Awesome Views!",33127842,"Kari","Near North Side",41.88999,-87.62192,"Entire home/apt",155,14,2,"2017-05-21",0.05,26,90
1429,"Huge Master bedroom w/ private deck in a duplex",2455602,"Gildas","West Town",41.90994,-87.6723,"Private room",100,6,8,"2017-04-30",0.18,1,0
1430,"3 BR, 2.5 Ba w parking; 10 min to Wrigley!",9094538,"Nicole","Lake View",41.94017,-87.66453,"Entire home/apt",96,1,121,"2020-09-06",2.88,37,35
1431,"Tiny Room.The Cubs Area. Boyztown.ParkingPermitsAv",108250312,"Andres","Lake View",41.94875,-87.65093,"Private room",83,1,13,"2020-02-16",0.32,4,365
1432,"Privacy in safe, high-tech smarthouse - New bed!",114672515,"Adam","Uptown",41.96766,-87.65353,"Private room",54,1,202,"2020-08-23",4.64,1,77
1433,"Bright & Spacious Town House Close to the Beach",114726893,"Angelica","Rogers Park",42.00527,-87.66384,"Entire home/apt",107,1,9,"2019-07-21",0.21,1,0
1434,"Barebone Space in Edgewater",15321714,"Mỹ-Phương","Edgewater",41.9875,-87.66825,"Entire home/apt",140,1,4,"2017-03-19",0.09,1,0
1435,"historic home with modern upgrades, close to lake",2942124,"Amanda","Lake View",41.93495,-87.64247,"Entire home/apt",150,3,3,"2017-06-25",0.07,1,33
1436,"Beautiful bedroom with private bath",9094314,"Elizabeth","Irving Park",41.96033,-87.73506,"Private room",70,1,144,"2020-09-15",3.34,1,355
1437,"Cozy, Vintage Apartment - Northwest Lincoln Square",17845905,"Wade","Lincoln Square",41.97784,-87.69541,"Entire home/apt",70,1,141,"2020-03-16",3.21,1,0
1438,"Private Room in Ukrainian Village",11007563,"Garrett","West Town",41.89979,-87.67868,"Private room",45,7,15,"2019-08-24",0.36,1,0
1439,"No crazy fees! Instant Book it! Great Location!",83032647,"Peter","Lower West Side",41.85886,-87.66022,"Entire home/apt",69,2,228,"2020-09-05",5.39,3,321
1440,"Cozy Room for One In The Company of Cats -Blueline",13545252,"Sharon","Irving Park",41.94977,-87.72005,"Private room",39,1,81,"2019-10-21",1.9,1,0
1441,"The Vanderpool House",115500530,"Frank","Portage Park",41.96661,-87.75918,"Entire home/apt",90,2,25,"2019-11-03",0.61,1,78
1442,"Hip 1 BR in Chicago Ukrainian Village!",858576,"Matthew","West Town",41.89397,-87.69382,"Entire home/apt",76,2,40,"2020-08-16",0.93,1,25
1443,"2BR mins to Downtown Laundry FREE parking ❤️⭐",2630113,"Nikkole","West Town",41.8936,-87.66118,"Entire home/apt",164,2,156,"2020-02-23",3.67,3,42
1444,"3 bedroom Staycation ❤️",46771116,"Vladimir","West Town",41.90004,-87.69215,"Entire home/apt",141,2,94,"2020-09-14",2.58,4,90
1445,"Historic Chicago Coach House",55692255,"Elizabeth","Lincoln Park",41.92123,-87.65046,"Entire home/apt",96,3,96,"2020-09-04",2.22,1,353
1446,"Vintage West Fulton Market Retreat",6852314,"Jen & Andy","Near West Side",41.88574,-87.67313,"Entire home/apt",238,3,140,"2020-09-14",3.26,1,180
1447,"Private bedroom/bathroom in River West",13481565,"Erica","West Town",41.89661,-87.65723,"Private room",50,3,44,"2020-03-16",1.03,1,0
1448,"3bedrm 2bath 1600 sqft condo w/ balcony n parking",115896160,"Patrick","Lincoln Park",41.93201,-87.66894,"Entire home/apt",450,30,32,"2019-08-13",0.77,2,180
1449,"ICONIC TOWER 1BR + Eat-In Kitchen!",63313003,"K","Loop",41.88729,-87.61924,"Entire home/apt",149,30,9,"2019-12-22",0.23,31,180
1450,"Ukrainian Village Garden Flat",1139947,"Yas","West Town",41.89697,-87.67655,"Entire home/apt",107,2,68,"2020-03-15",1.56,3,24
1451,"Charming Vintage Apt in the heart of Logan Square",1003759,"Charles & Sarah","Logan Square",41.92088,-87.68968,"Entire home/apt",90,7,27,"2020-07-28",0.69,1,310
1452,"Lovely Studio/1Ba near Wrigley!",9094538,"Nicole","Lake View",41.93858,-87.66492,"Entire home/apt",67,1,121,"2020-09-04",2.94,37,128
1453,"THE entire FLAT-2 FULL Baths! 
Forced Air-Parking!",94867877,"Maia Lis","Edgewater",41.99078,-87.66118,"Entire home/apt",249,4,20,"2020-02-16",0.49,3,3
1454,"Charming Top Floor Apt - 20 minutes to Downtown!",32336500,"Samson","Humboldt Park",41.90737,-87.70903,"Entire home/apt",91,3,56,"2020-09-17",3.19,2,2
1455,"Oakwood Boulevard Gated Home",44427387,"Gleatha","Oakland",41.82186,-87.60482,"Entire home/apt",106,2,59,"2020-08-02",1.38,1,89
1456,"Industrial Style Chicago Loft with FREE parking",117498144,"Dasha & Owen","Irving Park",41.94168,-87.73022,"Entire home/apt",87,1,442,"2020-09-18",10.34,4,315
1457,"The Sox Pad",117331227,"Michael","Bridgeport",41.83296,-87.65177,"Private room",47,2,60,"2020-09-06",1.38,3,359
1458,"LUX 1BR/1BA Top-Floor Unobstructed Downtown Views",26302525,"Margarita & Mike","Near North Side",41.89255,-87.61911,"Entire home/apt",129,2,278,"2020-09-13",6.39,2,96
1459,"4,400sqft Updated Gorgeous House",31618842,"Dean","West Town",41.89439,-87.68081,"Entire home/apt",654,4,34,"2020-02-17",0.79,2,167
1460,"Unique Loft Experience Convenient To McCormick Pl",117831151,"Tony","Loop",41.87511,-87.63154,"Entire home/apt",463,2,20,"2019-10-13",0.49,1,90
1461,"The Avondale Guesthouse",9959757,"Jedidiah","Avondale",41.93563,-87.69241,"Entire home/apt",65,2,133,"2020-09-14",3.13,4,309
1462,"Great Location!!-12",14241347,"Ensavi","Near North Side",41.90102,-87.63064,"Entire home/apt",59,1,260,"2020-09-07",6.02,5,319
1463,"Spacious Room in Andersonville",77305684,"Miranda","Uptown",41.97537,-87.66279,"Private room",49,1,34,"2020-02-18",0.8,1,0
1464,"2BR East Lakeview Gem 2 Blocks from Lake",118232209,"Eric And Beth","Lake View",41.93626,-87.63913,"Entire home/apt",296,1,103,"2019-10-24",2.41,2,350
1465,"Urban Pilsen Apt. near Downtown",319470,"Suzanne","Lower West Side",41.85109,-87.68242,"Entire home/apt",100,2,111,"2020-03-01",2.6,1,140
1466,"Settle Inn Lincoln Park",118261177,"Ben & Carly","Lincoln Park",41.92091,-87.64065,"Entire home/apt",544,2,112,"2020-02-20",2.77,1,6
1467,"The McCormick Pad",117331227,"Michael","Bridgeport",41.83327,-87.65196,"Private room",73,2,56,"2020-02-16",1.3,3,365
1468,"Great neighborhood! Free parking. Bus on corner!",118411109,"Jane","West Ridge",41.9935,-87.70078,"Private room",33,2,182,"2020-03-08",4.24,1,0
1469,"Spacious Classy Condo 3 mi. from Wrigley",6238433,"Anna","Irving Park",41.96032,-87.7098,"Entire home/apt",3429,20,12,"2017-08-06",0.3,2,83
1470,"THE CLEAVER BRIGHTON PARK 10 min downtown or mdway",65299403,"Rod","Brighton Park",41.81601,-87.69149,"Entire home/apt",350,2,55,"2019-10-14",1.85,2,360
1471,"Lovely high-floor 1 Bedroom with amazing views",82710543,"Jungmin","Hyde Park",41.79837,-87.5826,"Entire home/apt",82,180,0,"",NA,1,362
1472,"Big, Luxury, Best Location - 1BR",64948564,"Sebastian","Loop",41.88762,-87.61844,"Entire home/apt",159,3,4,"2019-03-05",0.09,1,0
1473,"Close to EVERYTHING! Multi-bed&bath w/free parking",22573057,"Todd","Douglas",41.84421,-87.62644,"Entire home/apt",158,3,98,"2019-10-24",2.29,2,270
1474,"Extended Stay w/ HOT TUB TIME MACHINE, GYM, POOL",83166040,"HomeTree","Loop",41.88741,-87.61747,"Entire home/apt",159,14,33,"2017-10-05",0.77,3,0
1475,"Family Friendly 2BR/1BA Bucktown/Logan Sq Apt",7097439,"Liz & Mike","Logan Square",41.91871,-87.68976,"Entire home/apt",149,2,218,"2020-06-21",5.07,1,291
1476,"Best Lincoln Square location. Spacious 2 bedroom",24286383,"Lisa","Lincoln Square",41.96533,-87.68213,"Entire home/apt",75,1,53,"2020-09-08",2.16,3,273
1477,"Heart of Bucktown",119863033,"Jeanette","West Town",41.90772,-87.66744,"Entire home/apt",90,2,154,"2020-09-15",3.6,2,65
1478,"Studio space w/ private bathroom near midway",119865253,"Erica","West Lawn",41.77769,-87.71804,"Private room",38,1,293,"2020-09-02",7.05,3,0
1479,"*SPACIOUS 4 Bedroom Townhouse with FREE PARKING!*",1597671,"Naomi And JJ","Uptown",41.96516,-87.67066,"Entire home/apt",215,2,64,"2020-08-29",1.56,3,121
1480,"Charming South Loop Apartment-Wifi,Netflix,parking",9339313,"Leon","Lower West Side",41.85487,-87.65461,"Entire home/apt",45,1,202,"2020-06-21",4.74,11,0
1481,"Bunk Suite in River North Hotel, 6 Beds!",92467320,"FieldHouse","Near North Side",41.89763,-87.635,"Hotel room",158,1,141,"2020-09-06",3.3,8,7
1482,"Pro Cleaned, Lakeview Greystone Steps from Wrigley Field",99537072,"Patrick","Lake View",41.94696,-87.65329,"Entire home/apt",175,2,113,"2020-09-06",3.41,2,82
1483,"2 bedrooms&2 baths in large 5 bed/3bath penthouse",66275798,"Carol","Hyde Park",41.80219,-87.59945,"Private room",144,3,9,"2019-09-16",0.22,3,139
